Fold,Availability_Mask,Condition,Available_Modalities,Missing_Modalities,Missing_Count,Case,Dice,IoU,HD95_mm,ASSD_mm,TP,FP,FN,N_Pred,N_Ref,Pred_Empty,Ref_Empty,Spacing_ZYX
all,10,flair_only,FLAIR,T1,1,WMH2017_Singapore_078,0.6044520547945206,0.4331288343558282,9.345783134469258,1.79671894148728,706,85,839,791,1545,false,false,"(3.0000009536743164, 0.9999999403953552, 1.0)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Singapore_079,0.8142589118198874,0.6867088607594937,2.9999998211860657,0.4874415402429468,2387,936,153,3323,2540,false,false,"(3.0000014305114746, 1.0, 0.9999999403953552)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Singapore_080,0.8518991382061921,0.7420072282457604,3,0.4711572055651658,5338,938,918,6276,6256,false,false,"(3.0000009536743164, 1.0, 0.9999999403953552)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Singapore_081,0.864274678111588,0.7609891770965597,3.0000007152557373,0.5272775206624811,12586,2135,1818,14721,14404,false,false,"(3.0000007152557373, 1.0, 1.0)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Singapore_082,0.8861797880824883,0.7956219312602292,1,0.2920956771848284,3889,787,212,4676,4101,false,false,"(3.0000011920928955, 1.0, 1.0)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Singapore_083,0.8130489335006273,0.6849894291754757,3,0.513680726317401,1296,337,259,1633,1555,false,false,"(3.0, 1.0, 1.0)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Singapore_084,0.8732030962034648,0.7749427543343147,1,0.31854950085856126,7107,1239,825,8346,7932,false,false,"(2.999995708465576, 1.0, 1.0)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Singapore_085,0.8652414452564715,0.7624894667148189,1.4142135623730951,0.37920927230041845,6334,1553,420,7887,6754,false,false,"(2.9999992847442627, 1.0, 1.0)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Singapore_086,0.8408732623130941,0.7254368611935378,2,0.509038376701852,8801,3081,250,11882,9051,false,false,"(2.9999969005584717, 1.0, 1.0)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Singapore_087,0.8925978695976661,0.8060286729567455,1,0.3122695113083563,6578,1403,180,7981,6758,false,false,"(3.000000476837158, 1.0, 1.0)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Singapore_088,0.7013792366085748,0.540095504692903,3.605551275463989,1.5125760252818363,3280,1441,1352,4721,4632,false,false,"(3.0, 0.9999999403953552, 1.0)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Singapore_089,0.5962264150943396,0.42473118279569894,11.205425675664406,1.9053034199116419,158,50,164,208,322,false,false,"(2.9999992847442627, 1.0, 1.0)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Singapore_090,0.7734252585396427,0.6305569749616761,2,0.4444052299051094,1234,512,211,1746,1445,false,false,"(2.9999988079071045, 1.0, 1.0)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Singapore_091,0.6325185302002838,0.46254266998800625,11.57583739709985,3.5268339907004282,20054,1080,22222,21134,42276,false,false,"(3.000001907348633, 1.0, 1.0)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Singapore_092,0.8543013426156141,0.7456597222222222,2,0.4213223274311945,6872,1789,555,8661,7427,false,false,"(2.9999985694885254, 1.0, 1.0000001192092896)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Singapore_093,0.8004716363159964,0.6673219746614242,3.0000030994415283,1.5937546945975358,3055,931,592,3986,3647,false,false,"(3.0000030994415283, 1.0, 0.9999999403953552)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Singapore_094,0.8405144090866422,0.7249028497409327,2.23606797749979,0.4563236154287442,8954,2659,739,11613,9693,false,false,"(3.0000016689300537, 1.0, 1.0)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Singapore_095,0.8998268612416522,0.8178956834532374,1,0.27097135724934407,5457,665,550,6122,6007,false,false,"(3.0000009536743164, 1.0, 1.0)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Singapore_096,0.8999951524552814,0.8181738057465185,1.4142135623730951,0.3395132715082157,18566,2236,1890,20802,20456,false,false,"(3.0, 1.0, 1.0)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Singapore_097,0.8368658149324274,0.7194920634920635,3.1622786101400426,0.8315775511718111,5666,712,1497,6378,7163,false,false,"(3.0000014305114746, 1.0, 1.0)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Singapore_098,0.8195777351247601,0.6943089430894309,2.9999983310699463,1.4713159059485348,1281,359,205,1640,1486,false,false,"(2.9999983310699463, 1.0, 0.9999999403953552)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Singapore_099,0.8160651920838184,0.6892822025565388,3.3166249880416454,0.6850540597087319,701,169,147,870,848,false,false,"(3.000000238418579, 0.9999999403953552, 1.0)"
