Dataset,Evaluation_Level,Fold,Checkpoint,Availability_Mask,Condition,Available_Modalities,Missing_Modalities,Missing_Count,Region,Cases,Metric_N,Dice,IoU,HD95_mm,ASSD_mm,Overall_Mean_Dice,Overall_Dice_Retention,Aggregation
BraTS2021,Fold,0,checkpoint_best.pth,1110,drop_t2,FLAIR+T1ce+T1,T2,1,TC,251,251,0.9136643083968018,0.8642737502096278,1.2941017784410265,,0.901235424639343,0.998252937346015,Fold case mean; NaN excluded
BraTS2021,Fold,0,checkpoint_best.pth,1110,drop_t2,FLAIR+T1ce+T1,T2,1,ET,251,251,0.8604258062414452,0.7934736471480275,1.963979469998996,,0.901235424639343,0.998252937346015,Fold case mean; NaN excluded
BraTS2021,Fold,0,checkpoint_best.pth,1101,drop_t1,FLAIR+T1ce+T2,T1,1,WT,251,251,0.932902943529475,0.8797295938302633,1.8672472373721245,,0.9006275535496973,0.997579629257832,Fold case mean; NaN excluded
BraTS2021,Fold,0,checkpoint_best.pth,1101,drop_t1,FLAIR+T1ce+T2,T1,1,TC,251,251,0.9133125638004584,0.862992220462042,1.2474076359745163,,0.9006275535496973,0.997579629257832,Fold case mean; NaN excluded
BraTS2021,Fold,0,checkpoint_best.pth,1101,drop_t1,FLAIR+T1ce+T2,T1,1,ET,251,251,0.8556671533191582,0.7863112165678101,1.9748800039015155,,0.9006275535496973,0.997579629257832,Fold case mean; NaN excluded
BraTS2021,Fold,0,checkpoint_best.pth,1011,drop_t1ce,FLAIR+T1+T2,T1ce,1,WT,251,251,0.927998814415772,0.8710807958143559,1.970472696444537,,0.7809505826284341,0.865019496257475,Fold case mean; NaN excluded
BraTS2021,Fold,0,checkpoint_best.pth,1011,drop_t1ce,FLAIR+T1+T2,T1ce,1,TC,251,251,0.7873013330198361,0.6797622993894143,4.238368289019056,,0.7809505826284341,0.865019496257475,Fold case mean; NaN excluded
BraTS2021,Fold,0,checkpoint_best.pth,1011,drop_t1ce,FLAIR+T1+T2,T1ce,1,ET,251,251,0.6275516004496938,0.4913313519346218,5.789024773113066,,0.7809505826284341,0.865019496257475,Fold case mean; NaN excluded
BraTS2021,Fold,0,checkpoint_best.pth,0111,drop_flair,T1ce+T1+T2,FLAIR,1,WT,251,251,0.8958914503491568,0.8204050585979888,3.231533829688626,,0.8856126769854185,0.9809484092409564,Fold case mean; NaN excluded
BraTS2021,Fold,0,checkpoint_best.pth,0111,drop_flair,T1ce+T1+T2,FLAIR,1,TC,251,251,0.9089504156075936,0.8591471832160954,1.5050647859477169,,0.8856126769854185,0.9809484092409564,Fold case mean; NaN excluded
BraTS2021,Fold,0,checkpoint_best.pth,0111,drop_flair,T1ce+T1+T2,FLAIR,1,ET,251,251,0.8519961649995049,0.7833849598266489,2.025961734102155,,0.8856126769854185,0.9809484092409564,Fold case mean; NaN excluded
